#Job;#Precedenze;Risultato PLI;Bound PLI;Gap PLI;Risultato BB;Gap BB;Tempo PLI;Tempo BB
20;95;10457;10457;0;10457;0;0.102725983;0.026924133
20;95;9982;9982;0;9982;0;0.008975983;0.001992702
20;95;10162;10162;0;10162;0;0.014043093;0.002991676
20;95;10358;10358;0;10358;0;0.047879934;0.004990578
20;95;10648;10648;0;10648;0;0.069901943;0.01795125
20;95;10187;10187;0;10187;0;0.050375223;0.003986835
20;95;10833;10833;0;10833;0;0.054362059;0.007978201
20;95;10798;10798;0;10798;0;0.090274572;0.028923035
20;95;10960;10960;0;10960;0;0.06533885;0.01894927
20;95;11157;11157;0;11157;0;0.111702681;0.033908367
20;95;10581;10581;0;10581;0;0.081782818;0.013962507
20;95;10151;10151;0;10151;0;0.033910275;0.002991915
20;95;10351;10351;0;10351;0;0.086768389;0.023935318
20;95;10717;10717;0;10717;0;0.165558577;0.082778215
20;95;11176;11176;0;11176;0;0.036901474;0.005983114
20;95;10160;10160;0;10160;0;0.036901712;0.00399065
20;95;10211;10211;0;10211;0;0.113658428;0.023940086
20;95;10085;10085;0;10085;0;0.106714964;0.023935795
20;95;10598;10598;0;10598;0;0.01695466;0.001994371
20;95;10431;10431;0;10431;0;0.057846308;0.010970354
20;95;10659;10659;0;10659;0;0.062345982;0.008975029
20;95;11130;11130;0;11130;0;0.026928425;0.001994371
20;95;10498;10498;0;10498;0;0.061835051;0.017916203
20;95;10842;10842;0;10842;0;0.052858591;0.003989458
20;95;10660;10660;0;10660;0;0.053815603;0.008976698
20;95;10878;10878;0;10878;0;0.044880867;0.003031254
20;95;10405;10405;0;10405;0;0.082740068;0.010970116
20;95;10269;10269;0;10269;0;0.04787159;0.006983519
20;95;10478;10478;0;10478;0;0.060836554;0.011968374
20;95;10311;10311;0;10311;0;0.063826323;0.012965202
20;95;10169;10169;0;10169;0;0.043883324;0.005023241
20;95;9763;9763;0;9763;0;0.060799599;0.01396203
20;95;10738;10738;0;10738;0;0.044876814;0.012964725
20;95;10235;10235;0;10235;0;0.036902428;0.008974552
20;95;10730;10730;0;10730;0;0.020949364;0.002948284
20;95;10383;10383;0;10383;0;0.029923439;0.003990173
20;95;10542;10542;0;10542;0;0.036902189;0.005982876
20;95;10371;10371;0;10371;0;0.0578475;0.018948078
20;95;10468;10468;0;10468;0;0.042889118;0.006979942
20;95;10233;10233;0;10233;0;0.035905838;0.004576445
20;95;10814;10814;0;10814;0;0.040893793;0.002990484
20;95;10779;10779;0;10779;0;0.06083703;0.005985498
20;95;10487;10487;0;10487;0;0.064827204;0.016956806
20;95;10214;10214;0;10214;0;0.068814754;0.01595664
20;95;9865;9865;0;9865;0;0.083778381;0.01595664
20;95;10915;10915;0;10915;0;0.04288578;0.004986525
20;95;10442;10442;0;10442;0;0.069815874;0.019950151
20;95;10082;10082;0;10082;0;0.083773613;0.018948555
20;95;10663;10663;0;10663;0;0.029010534;0.00502491
20;95;10671;10671;0;10671;0;0.086728334;0.02697134
20;95;10519;10519;0;10519;0;0.043845177;0.005982637
20;95;10259;10259;0;10259;0;0.03742075;0.004985809
20;95;9910;9910;0;9910;0;0.040854931;0.003988743
20;95;10646;10646;0;10646;0;0.035904646;0.005980968
20;95;10207;10207;0;10207;0;0.055850506;0.009772539
20;95;10362;10362;0;10362;0;0.012961388;0.000996351
20;95;10583;10583;0;10583;0;0.051860332;0.011967421
20;95;10400;10400;0;10400;0;0.145609379;0.050743341
20;95;10416;10416;0;10416;0;0.066922426;0.022943258
20;95;10864;10864;0;10864;0;0.057195187;0.008938551
20;95;10234;10234;0;10234;0;0.033952951;0.003026724
20;95;9556;9556;0;9556;0;0.044387102;0.005022526
20;95;10669;10668;9.37E-05;10669;0;0.10966897;0.037937641
20;95;10773;10773;0;10773;0;0.033865213;0.004024029
20;95;10095;10095;0;10095;0;0.075795412;0.008980274
20;95;10312;10312;0;10312;0;0.088799238;0.022902489
