#Job;#Precedenze;Lista mu;Risultato PLI;Bound PLI;Gap PLI;Risultato BB;Gap BB;Tempo PLI;Tempo BB
8;2;[0.5, 0.5];1659;1659;0;1659;0;0.109709501;0.00000000
8;2;[0.5, 0.5];1351;1351;0;1351;0;0.125768185;0
8;2;[0.5, 0.5];1020;1020;0;1020;0;0.140998363;0.031242132
8;2;[0.5, 0.5];1110;1110;0;1110;0;0.078506947;0.015619993
8;2;[0.5, 0.5];1194;1194;0;1194;0;0.078511477;0
8;2;[0.5, 0.5];1277;1277;0;1277;0;0.125371218;0.016019583
8;2;[0.5, 0.5];1930;1930;0;1930;0;0.203374147;0.031247139
8;2;[0.5, 0.5];1339;1339;0;1339;0;0.109751463;0.015621424
8;2;[0.5, 0.5];1835;1835;0;1835;0;0.141394138;0
8;2;[0.5, 0.5];1131;1131;0;1131;0;0.125373125;0.015622139
8;2;[0.5, 0.5];1571;1571;0;1571;0;0.15250349;0.020166159
8;2;[0.5, 0.5];1319;1319;0;1319;0;0.06449604;0
8;2;[0.5, 0.5];856;856;0;856;0;0.029640198;0.015623093
8;2;[0.5, 0.5];1327;1327;0;1327;0;0.125379086;0
8;2;[0.5, 0.5];1074;1074;0;1074;0;0.094149113;0.015619993
8;2;[0.5, 0.5];1218;1218;0;1218;0;0.220508337;0.04625392
8;2;[0.5, 0.5];1264;1264;0;1264;0;0.078515291;0.015620708
8;2;[0.5, 0.5];1565;1565;0;1565;0;0.203894854;0.03124094
8;2;[0.5, 0.5];1009;1009;0;1009;0;0.140894413;0
8;2;[0.5, 0.5];1650;1650;0;1650;0;0.250751972;0.047261477
8;2;[0.5, 0.5];1534;1534;0;1534;0;0.2038939;0.015620232
8;2;[0.5, 0.5];863;863;0;863;0;0.141413927;0
8;2;[0.5, 0.5];836;836;0;836;0;0.078515053;0.015669107
8;2;[0.5, 0.5];1608;1608;0;1608;0;0.156577587;0
8;2;[0.5, 0.5];1434;1434;0;1434;0;0.125779152;0.01562953
8;2;[0.5, 0.5];910;910;0;910;0;0.062492847;0
8;2;[0.5, 0.5];1296;1296;0;1296;0;0.172638893;0.047266006
8;2;[0.5, 0.5];1182;1182;0;1182;0;0.062497139;0
8;2;[0.5, 0.5];1275;1275;0;1275;0;0.125771523;0.015632153
8;2;[0.5, 0.5];1867;1867;0;1867;0;0.187759399;0.03123951
8;2;[0.5, 0.5];1170;1170;0;1170;0;0.109805346;0
8;2;[0.5, 0.5];936;936;0;936;0;0.062901258;0
8;2;[0.5, 0.5];1450;1450;0;1450;0;0.156627893;0.016017675
8;2;[0.5, 0.5];1511;1511;0;1511;0;0.172261715;0.047305346
8;2;[0.5, 0.5];876;876;0;876;0;0.078461647;0
8;2;[0.5, 0.5];1763;1763;0;1763;0;0.195878029;0.023637056
8;2;[0.5, 0.5];1953;1953;0;1953;0;0.156623602;0
8;2;[0.5, 0.5];1423;1423;0;1423;0;0.094127893;0
8;2;[0.5, 0.5];1090;1090;0;1090;0;0.172650099;0
8;2;[0.5, 0.5];1689;1689;0;1689;0;0.12537837;0
8;2;[0.5, 0.5];1080;1080;0;1080;0;0.141428232;0.046861649
8;2;[0.5, 0.5];1611;1611;0;1611;0;0.423339128;0.094179153
8;2;[0.5, 0.5];1199;1199;0;1199;0;0.109759092;0.015617371
8;2;[0.5, 0.5];1109;1109;0;1109;0;0.094136;0
8;2;[0.5, 0.5];1904;1904;0;1904;0;0.27438879;0.023640394
8;2;[0.5, 0.5];1146;1146;0;1146;0;0.094146967;0.015622377
8;2;[0.5, 0.5];2625;2625;0;2625;0;0.486297607;0.109869242
8;2;[0.5, 0.5];543;543;0;543;0;0.031240463;0
8;2;[0.5, 0.5];1149;1149;0;1149;0;0.078505754;0
8;2;[0.5, 0.5];1107;1107;0;1107;0;0.140849352;0.031251907
8;2;[0.5, 0.5];1609;1609;0;1609;0;0.062888145;0
8;2;[0.5, 0.5];1500;1500;0;1500;0;0.344934464;0.047255754
8;2;[0.5, 0.5];1521;1521;0;1521;0;0.078507185;0
8;2;[0.5, 0.5];1394;1394;0;1394;0;0.140969276;0.015619278
8;2;[0.5, 0.5];973;973;0;973;0;0.125780582;0.015620708
8;2;[0.5, 0.5];1485;1485;0;1485;0;0.15661931;0.016014814
8;2;[0.5, 0.5];1470;1470;0;1470;0;0.156648874;0.047297001
8;2;[0.5, 0.5];942;942;0;942;0;0.12538743;0.015620708
8;2;[0.5, 0.5];1124;1124;0;1124;0;0.0941329;0.015621901
8;2;[0.5, 0.5];1284;1284;0;1284;0;0.140884399;0.031250238
8;2;[0.5, 0.5];1765;1765;0;1765;0;0.141007423;0
8;2;[0.5, 0.5];1717;1717;0;1717;0;0.188257217;0.024629354
8;2;[0.5, 0.5];1708;1708;0;1708;0;0.430413246;0.109743595
8;2;[0.5, 0.5];1278;1278;0;1278;0;0.161130428;0.011514425
8;2;[0.5, 0.5];1253;1253;0;1253;0;0.094136;0
8;2;[0.5, 0.5];1079;1079;0;1079;0;0.125376463;0.062887907
8;2;[0.5, 0.5];1670;1670;0;1670;0;0.203900337;0.046864033
8;2;[0.5, 0.5];1300;1300;0;1300;0;0.094131708;0
8;2;[0.5, 0.5];1113;1113;0;1113;0;0.078008652;0.01561451
8;2;[0.5, 0.5];1829;1829;0;1829;0;0.188275576;0.015620232
8;2;[0.5, 0.5];1354;1354;0;1354;0;0.157032013;0.01562047
8;2;[0.5, 0.5];1707;1707;0;1707;0;0.157008648;0
8;2;[0.5, 0.5];1167;1167;0;1167;0;0.156620264;0.062896967
8;2;[0.5, 0.5];1143;1143;0;1143;0;0.125392437;0.015623093
8;2;[0.5, 0.5];894;894;0;894;0;0.157033205;0.046859264
8;2;[0.5, 0.5];2229;2229;0;2229;0;0.256280661;0.015620708
8;2;[0.5, 0.5];1417;1417;0;1417;0;0.157025099;0
8;2;[0.5, 0.5];1386;1386;0;1386;0;0.141000509;0
8;2;[0.5, 0.5];1950;1950;0;1950;0;0.156522989;0
8;2;[0.5, 0.5];1358;1358;0;1358;0;0.094176054;0
8;2;[0.5, 0.5];1998;1998;0;1998;0;0.219511032;0.031242847
8;2;[0.5, 0.5];1347;1347;0;1347;0;0.157015562;0.046862602
8;2;[0.5, 0.5];1055;1055;0;1055;0;0.111762524;0.014011145
8;2;[0.5, 0.5];1268;1268;0;1268;0;0.086124897;0
8;2;[0.5, 0.5];1402;1402;0;1402;0;0.078117132;0
8;2;[0.5, 0.5];1326;1326;0;1326;0;0.078514814;0
8;2;[0.5, 0.5];1300;1300;0;1300;0;0.141408682;0.015639305
8;2;[0.5, 0.5];984;984;0;984;0;0.179288387;0.009009123
8;2;[0.5, 0.5];1553;1553;0;1553;0;0.156621933;0.031243324
8;2;[0.5, 0.5];1398;1398;0;1398;0;0.153512478;0
8;2;[0.5, 0.5];1959;1959;0;1959;0;0.234621048;0.031639338
8;2;[0.5, 0.5];2666;2666;0;2666;0;0.53313899;0.078616142
8;2;[0.5, 0.5];803;803;0;803;0;0.070464134;0.008012056
8;2;[0.5, 0.5];1485;1485;0;1485;0;0.094142675;0
8;2;[0.5, 0.5];1299;1299;0;1299;0;0.109790325;0.015628338
8;2;[0.5, 0.5];1591;1591;0;1591;0;0.141001225;0
8;2;[0.5, 0.5];1455;1455;0;1455;0;0.125771761;0
8;2;[0.5, 0.5];1493;1493;0;1493;0;0.191377401;0.012509108
8;2;[0.5, 0.5];1682;1682;0;1682;0;0.172245502;0.01551199
8;2;[0.5, 0.5];1416;1416;0;1416;0;0.156623363;0.062924862
