#Job,#Precedenze,Lista mu,Risultato PLI,Bound PLI,Gap PLI,Risultato BB,Gap BB,Tempo PLI,Tempo BB
9,2,"[0.5, 0.5]",2514.0,2514.0,0.0,2514,0,2.402918577194214,1.1390392780303955
9,2,"[0.5, 0.5]",1194.0,1194.0,0.0,1194,0,0.1981799602508545,0.009008169174194336
9,2,"[0.5, 0.5]",1807.0,1807.0,0.0,1807,0,0.10109186172485352,0.009008169174194336
9,2,"[0.5, 0.5]",1149.0,1149.0,0.0,1149,0,0.10509562492370605,0.04504060745239258
9,2,"[0.5, 0.5]",830.0,830.0,0.0,830,0,0.09108304977416992,0.041036367416381836
9,2,"[0.5, 0.5]",2839.0,2839.0,0.0,2839,0,0.8445591926574707,0.23121023178100586
9,2,"[0.5, 0.5]",2155.0,2155.0,0.0,2155,0,0.21719765663146973,0.19023489952087402
9,2,"[0.5, 0.5]",1243.0,1243.0,0.0,1243,0,0.18370819091796875,0.06205630302429199
9,2,"[0.5, 0.5]",1395.0,1395.0,0.0,1395,0,0.23972392082214355,0.08407974243164062
9,2,"[0.5, 0.5]",2057.0,2057.0,0.0,2057,0,1.7405884265899658,0.4318044185638428
9,2,"[0.5, 0.5]",2074.0,2074.0,0.0,2074,0,0.15010857582092285,0.0010008811950683594
9,2,"[0.5, 0.5]",2223.0,2223.0,0.0,2223,0,0.21201348304748535,0.0420382022857666
9,2,"[0.5, 0.5]",1994.0,1994.0,0.0,1994,0,0.7099027633666992,0.4684262275695801
9,2,"[0.5, 0.5]",1568.0,1568.0,0.0,1568,0,0.10209155082702637,0.004004240036010742
9,2,"[0.5, 0.5]",1533.0,1533.0,0.0,1533,0,0.10209250450134277,0.011010169982910156
9,2,"[0.5, 0.5]",2433.0,2433.0,0.0,2433,0,0.2818644046783447,0.0010004043579101562
9,2,"[0.5, 0.5]",1596.0,1596.0,0.0,1596,0,0.24422240257263184,0.14913606643676758
9,2,"[0.5, 0.5]",1870.0,1870.0,0.0,1870,0,0.7877168655395508,0.47142982482910156
9,2,"[0.5, 0.5]",1999.0,1999.0,0.0,1999,0,0.24422216415405273,0.06005573272705078
9,2,"[0.5, 0.5]",1742.0,1742.0,0.0,1742,0,0.2742493152618408,0.21919989585876465
9,2,"[0.5, 0.5]",1771.0,1771.0,0.0,1771,0,0.21219325065612793,0.2972714900970459
9,2,"[0.5, 0.5]",1207.0,1207.0,0.0,1207,0,0.06605911254882812,0.0010006427764892578
9,2,"[0.5, 0.5]",2222.0,2222.0,0.0,2222,0,0.1661520004272461,0.03303027153015137
9,2,"[0.5, 0.5]",2069.0,2069.0,0.0,2069,0,1.0870001316070557,0.151137113571167
9,2,"[0.5, 0.5]",861.0,861.0,0.0,861,0,0.13212013244628906,0.1661515235900879
9,2,"[0.5, 0.5]",1107.0,1107.0,0.0,1107,0,0.2247159481048584,0.3520545959472656
9,2,"[0.5, 0.5]",1803.0,1803.0,0.0,1803,0,0.10409760475158691,0.0030024051666259766
9,2,"[0.5, 0.5]",1717.0,1717.0,0.0,1717,0,0.13022446632385254,0.0010008811950683594
9,2,"[0.5, 0.5]",1229.0,1229.0,0.0,1229,0,0.14169692993164062,0.07707047462463379
9,2,"[0.5, 0.5]",1413.0,1413.0,0.0,1413,0,0.15914416313171387,0.11810779571533203
9,2,"[0.5, 0.5]",1165.0,1165.0,0.0,1165,0,0.09708786010742188,0.012010812759399414
9,2,"[0.5, 0.5]",681.0,681.0,0.0,681,0,0.269244909286499,0.032029151916503906
9,2,"[0.5, 0.5]",1319.0,1319.0,0.0,1319,0,0.06405806541442871,0.0021772384643554688
9,2,"[0.5, 0.5]",1403.0,1403.0,0.0,1403,0,0.28266191482543945,0.14682245254516602
9,2,"[0.5, 0.5]",1596.0,1596.0,0.0,1596,0,0.13112235069274902,0.010009765625
9,2,"[0.5, 0.5]",2684.0,2684.0,0.0,2684,0,0.8448569774627686,0.36733508110046387
9,2,"[0.5, 0.5]",2427.0,2427.0,0.0,2427,0,0.855778694152832,0.35382843017578125
9,2,"[0.5, 0.5]",2100.0,2100.0,0.0,2100,0,0.22820711135864258,0.036032676696777344
