#Job;#Precedenze;Risultato PLI;Bound PLI;Gap PLI;Risultato BB;Gap BB;Tempo PLI;Tempo BB
20;95;9492;9492;0;9492;0;0.043847322;0.003030539
20;95;10640;10640;0;10640;0;0.062832594;0.008019209
20;95;10867;10867;0;10867;0;0.0328722;0.003990412
20;95;10372;10372;0;10372;0;0.038894653;0.016988516
20;95;9585;9585;0;9585;0;0.096739769;0.114694357
20;95;9456;9456;0;9456;0;0.057844639;0.012012243
20;95;10890;10889;9.18E-05;10890;0;0.037900925;0.005941391
20;95;13004;13004;0;13004;0;0.064826965;0.011968374
20;95;9395;9395;0;9395;0;0.060836792;0.011968851
20;95;11685;11685;0;11685;0;0.048869371;0.005983829
20;95;10333;10333;0;10333;0;0.011002541;0.001993179
20;95;10526;10526;0;10526;0;0.015955448;0.002029181
20;95;10859;10859;0;10859;0;0.044883251;0.004004002
20;95;10615;10615;0;10615;0;0.037857771;0.003985167
20;95;14421;14421;0;14421;0;0.106830359;0.033442736
20;95;8132;8132;0;8132;0;0.171583891;0.076793671
20;95;11266;11266;0;11266;0;0.034907341;0.006980896
20;95;10591;10591;0;10591;0;0.038893938;0.008486032
20;95;9716;9716;0;9716;0;0.023934603;0.001994371
20;95;9453;9453;0;9453;0;0.066334009;0.013966799
20;95;11569;11569;0;11569;0;0.041888475;0.00698185
20;95;11538;11538;0;11538;0;0.055814981;0.014960289
20;95;9992;9992;0;9992;0;0.040881157;0.002992153
20;95;9296;9296;0;9296;0;0.029957533;0.003026485
20;95;11030;11030;0;11030;0;0.080782413;0.02596736
20;95;12520;12520;0;12520;0;0.046836615;0.0109694
20;95;13509;13509;0;13509;0;0.036901474;0.002988338
20;95;9742;9742;0;9742;0;0.075786114;0.010969639
20;95;10731;10731;0;10731;0;0.025930643;0.001987457
20;95;10094;10094;0;10094;0;0.08477354;0.021941662
20;95;8522;8522;0;8522;0;0.031877041;0.00402236
20;95;9013;9013;0;9013;0;0.047871828;0.010008097
20;95;10391;10391;0;10391;0;0.087768078;0.046875238
20;95;11064;11064;0;11064;0;0.040899038;0.009011984
20;95;11770;11770;0;11770;0;0.057809353;0.008975744
20;95;13835;13835;0;13835;0;0.03993535;0.004030943
20;95;6979;6979;0;6979;0;0.043842554;0.008014202
20;95;10687;10687;0;10687;0;0.041924953;0.006943703
20;95;12806;12806;0;12806;0;0.049864531;0.006988049
20;95;10535;10535;0;10535;0;0.041180849;0.006019831
20;95;11192;11192;0;11192;0;0.055813551;0.004985094
20;95;8736;8736;0;8736;0;0.007978439;0.001994371
20;95;14885;14885;0;14885;0;0.059842825;0.027450323
20;95;9651;9651;0;9651;0;0.01995039;0.004985809
20;95;11584;11584;0;11584;0;0.031389952;0.011007547
20;95;10970;10970;0;10970;0;0.059808016;0.012921572
20;95;10712;10712;0;10712;0;0.086733818;0.05688405
20;95;14019;14019;0;14019;0;0.036859512;0.003031254
20;95;11598;11598;0;11598;0;0.038859129;0.001993656
20;95;10026;10026;0;10026;0;0.06382823;0.005020142
20;95;13392;13392;0;13392;0;0.04088974;0.00302887
20;95;9834;9834;0;9834;0;0.076747417;0.046912432
20;95;12843;12843;0;12843;0;0.031913042;0.004996061
20;95;11099;11099;0;11099;0;0.147574186;0.142163515
20;95;11687;11687;0;11687;0;0.038892746;0.003991365
20;95;14096;14096;0;14096;0;0.058815479;0.009972811
20;95;8238;8238;0;8238;0;0.048869133;0.006032944
20;95;10214;10214;0;10214;0;0.056806803;0.010966778
20;95;10350;10350;0;10350;0;0.035984993;0.001995325
20;95;9560;9560;0;9560;0;0.052858114;0.011581182
20;95;9632;9632;0;9632;0;0.029885769;0.002979517
20;95;10231;10231;0;10231;0;0.055358887;0.008975029
20;95;10019;10019;0;10019;0;0.072806835;0.022935629
20;95;10050;10050;0;10050;0;0.080786467;0.020980597
20;95;12476;12476;0;12476;0;0.085730553;0.021976948
20;95;10296;10296;0;10296;0;0.034906387;0.001993895
20;95;11115;11115;0;11115;0;0.045876741;0.00502634
20;95;11075;11075;0;11075;0;0.062797546;0.009971857
20;95;12532;12532;0;12532;0;0.016955853;0.001995325
20;95;11563;11563;0;11563;0;0.034907103;0.00303936
20;95;13236;13236;0;13236;0;0.10970664;0.028919935
20;95;8893;8893;0;8893;0;0.024934292;0.002031088
20;95;6404;6404;0;6404;0;0.016955376;0.00299263
20;95;11868;11868;0;11868;0;0.038870573;0.004951239
20;95;9101;9101;0;9101;0;0.09300375;0.142618418
20;95;10072;10072;0;10072;0;0.06038022;0.016000032
20;95;10384;10384;0;10384;0;0.046875238;0.003952503
20;95;10361;10361;0;10361;0;0.052821159;0.019987583
20;95;8203;8203;0;8203;0;0.029922247;0.004024506
20;95;10558;10558;0;10558;0;0.035902739;0.004987478
20;95;10971;10971;0;10971;0;0.078268766;0.025935173
20;95;10506;10506;0;10506;0;0.036891937;0.005026817
20;95;9910;9910;0;9910;0;0.058845043;0.018947601
20;95;10834;10834;0;10834;0;0.016916275;0.002028704
20;95;12332;12332;0;12332;0;0.052819252;0.01192522
20;95;10611;10611;0;10611;0;0.0657897;0.010972023
20;95;10804;10804;0;10804;0;0.055850267;0.007020235
20;95;8266;8266;0;8266;0;0.054808378;0.012964487
20;95;12955;12955;0;12955;0;0.105674505;0.04389143
20;95;12077;12077;0;12077;0;0.038953781;0.006976604
20;95;10086;10086;0;10086;0;0.015919447;0.002029657
20;95;11636;11636;0;11636;0;0.056849718;0.022977829
20;95;9232;9232;0;9232;0;0.050827026;0.019947052
20;95;9997;9997;0;9997;0;0.020981312;0.001996756
20;95;11373;11373;0;11373;0;0.051820755;0.005985975
20;95;12619;12619;0;12619;0;0.027890444;0.001994133
20;95;12903;12903;0;12903;0;0.034945011;0.004947424
20;95;11191;11191;0;11191;0;0.019985676;0.001994133
20;95;10492;10492;0;10492;0;0.040890455;0.012001753
20;95;11109;11109;0;11109;0;0.046840191;0.016955853
