#Job;#Precedenze;Risultato PLI;Bound PLI;Gap PLI;Risultato BB;Gap BB;Tempo PLI;Tempo BB
8;3;1699;1699;0;1699;0;0.482053757;0.13966918
8;3;1627;1627;0;1627;0;0.546558619;0.168725014
8;3;1843;1843;0;1843;0;0.457058907;0.137089252
8;3;1614;1614;0;1614;0;0.802633524;0.123609543
8;3;1681;1681;0;1681;0;0.539330006;0.177933693
8;3;1656;1656;0;1656;0;0.624563932;0.185996056
8;3;1742;1742;0;1742;0;0.557385921;0.206444502
8;3;1722;1722;0;1722;0;0.325360537;0.079189062
8;3;1734;1734;0;1734;0;0.646468163;0.182446003
8;3;1753;1753;0;1753;0;0.446674347;0.156793118
8;3;1706;1706;0;1706;0;0.625020504;0.19094348
8;3;1676;1676;0;1676;0;0.540905237;0.172276974
8;3;1669;1669;0;1669;0;0.209449053;0.0176332
8;3;1644;1644;0;1644;0;0.477437973;0.104364395
8;3;1708;1708;0;1708;0;0.758830309;0.259745598
8;3;1712;1712;0;1712;0;0.445428848;0.117285252
8;3;1626;1626;0;1626;0;0.353186131;0.09347415
8;3;1719;1719;0;1719;0;0.398289204;0.129047871
8;3;1671;1671;0;1671;0;0.358375072;0.099915981
8;3;1720;1720;0;1720;0;0.555264711;0.178668737
8;3;1703;1703;0;1703;0;0.316748857;0.082591057
8;3;1761;1761;0;1761;0;0.574996471;0.18939805
8;3;1658;1658;0;1658;0;0.658414364;0.159316778
8;3;1584;1584;0;1584;0;0.429226398;0.083950043
8;3;1675;1675;0;1675;0;0.236672163;0.035284758
8;3;1686;1686;0;1686;0;0.299742937;0.059017658
8;3;1742;1742;0;1742;0;0.659238338;0.236125231
8;3;1962;1962;0;1962;0;0.640450239;0.194926023
8;3;1603;1603;0;1603;0;0.674577236;0.188221931
8;3;1697;1697;0;1697;0;0.594675303;0.191664219
8;3;1782;1782;0;1782;0;0.3628757;0.058437586
8;3;1764;1764;0;1764;0;0.391728401;0.075620174
8;3;1655;1655;0;1655;0;0.370138407;0.072931051
8;3;1710;1710;0;1710;0;0.531585693;0.123998404
8;3;1842;1842;0;1842;0;0.354369879;0.085863829
8;3;1626;1626;0;1626;0;0.328923225;0.083692551
8;3;1707;1707;0;1707;0;0.583650589;0.17419982
8;3;1735;1735;0;1735;0;0.38961935;0.147634268
8;3;1711;1711;0;1711;0;0.357941628;0.079637289
8;3;1603;1603;0;1603;0;0.681629658;0.181764841
8;3;1741;1741;0;1741;0;0.772425652;0.230038881
8;3;1756;1756;0;1756;0;0.304117918;0.066565514
8;3;1820;1820;0;1820;0;0.364345312;0.076188564
8;3;1769;1769;0;1769;0;0.802525997;0.263381004
8;3;1692;1692;0;1692;0;0.629920483;0.189725161
8;3;1666;1666;0;1666;0;0.318591118;0.094214201
8;3;1739;1739;0;1739;0;0.269160509;0.083550692
8;3;1690;1690;0;1690;0;0.540285349;0.169194698
8;3;1885;1885;0;1885;0;0.370908499;0.097275257
8;3;1776;1776;0;1776;0;0.500944376;0.122371197
8;3;1727;1727;0;1727;0;0.590627193;0.194084644
8;3;1623;1623;0;1623;0;1.069630146;0.210408211
8;3;1715;1715;0;1715;0;0.545783997;0.151073933
8;3;1677;1677;0;1677;0;0.649752378;0.211929083
8;3;1690;1690;0;1690;0;0.51720047;0.203855515
8;3;1850;1850;0;1850;0;0.358510256;0.098794937
8;3;1691;1691;0;1691;0;0.675996542;0.221338034
8;3;1804;1804;0;1804;0;0.750389338;0.213005781
8;3;1592;1592;0;1592;0;0.330269575;0.092079639
8;3;1666;1666;0;1666;0;0.53139472;0.131779432
8;3;1751;1751;0;1751;0;0.495048761;0.112382174
8;3;1786;1786;0;1786;0;0.489260674;0.169450045
8;3;1742;1742;0;1742;0;0.661216259;0.212939024
8;3;1649;1649;0;1649;0;0.490192413;0.139030457
8;3;1656;1656;0;1656;0;0.468015671;0.122596741
8;3;1664;1664;0;1664;0;0.609350204;0.147070169
8;3;1739;1739;0;1739;0;0.61042881;0.216863394
8;3;1668;1668;0;1668;0;0.394429684;0.092833757
8;3;1640;1640;0;1640;0;0.43933773;0.141438246
8;3;1759;1759;0;1759;0;0.53730011;0.155926704
8;3;1903;1903;0;1903;0;0.522038698;0.106929541
8;3;1645;1645;0;1645;0;0.591276407;0.158550739
8;3;1748;1748;0;1748;0;0.698918819;0.260608912
8;3;1743;1743;0;1743;0;0.362099409;0.097252369
8;3;1789;1789;0;1789;0;0.497332811;0.143299341
8;3;1616;1616;0;1616;0;0.723833799;0.140410662
8;3;1691;1691;0;1691;0;0.361498117;0.093735933
8;3;1647;1647;0;1647;0;0.269922972;0.015838861
8;3;1818;1818;0;1818;0;0.312749863;0.101231098
8;3;1743;1743;0;1743;0;0.370731831;0.077019453
8;3;1704;1704;0;1704;0;0.671630621;0.276316881
8;3;1624;1624;0;1624;0;0.421085835;0.098727703
8;3;1788;1788;0;1788;0;0.459614038;0.119794607
8;3;1836;1836;0;1836;0;0.505936146;0.138784647
8;3;1964;1964;0;1964;0;0.572810888;0.213445425
8;3;1768;1768;0;1768;0;0.672287464;0.137641191
8;3;1735;1735;0;1735;0;0.45062232;0.092438221
8;3;1818;1818;0;1818;0;0.508072615;0.089412212
8;3;1779;1779;0;1779;0;0.646710157;0.183790207
8;3;1825;1825;0;1825;0;1.568255663;0.488120079
8;3;1721;1721;0;1721;0;0.699692488;0.218901634
8;3;1758;1758;0;1758;0;1.00861764;0.448401213
8;3;1841;1841;0;1841;0;1.082427502;0.34749794
8;3;1844;1844;0;1844;0;2.423254013;0.465888977
8;3;1708;1708;0;1708;0;0.55849123;0.060018063
8;3;1655;1655;0;1655;0;1.24062705;0.330075026
8;3;1729;1729;0;1729;0;1.007095575;0.318700075
8;3;1689;1689;0;1689;0;0.913940668;0.224961758
8;3;1602;1602;0;1602;0;0.849103689;0.231960297
8;3;1646;1646;0;1646;0;1.578552008;0.416970253
