#Job,#Precedenze,Lista mu,Risultato PLI,Bound PLI,Gap PLI,Risultato BB,Gap BB,Tempo PLI,Tempo BB
6,2,"[0.5, 0.5]",1255.0,1255.0,0.0,1255,0,0.01601433753967285,0.001001119613647461
6,2,"[0.5, 0.5]",611.0,611.0,0.0,611,0,0.004003286361694336,0.0
6,2,"[0.5, 0.5]",1140.0,1140.0,0.0,1140,0,0.01301121711730957,0.0010008811950683594
6,2,"[0.5, 0.5]",1170.0,1170.0,0.0,1170,0,0.009008407592773438,0.0010008811950683594
6,2,"[0.5, 0.5]",873.0,873.0,0.0,873,0,0.004004240036010742,0.0010008811950683594
6,2,"[0.5, 0.5]",603.0,603.0,0.0,603,0,0.004003286361694336,0.001001119613647461
6,2,"[0.5, 0.5]",975.0,975.0,0.0,975,0,0.007006645202636719,0.0
6,2,"[0.5, 0.5]",774.0,774.0,0.0,774,0,0.008007287979125977,0.0
6,2,"[0.5, 0.5]",825.0,825.0,0.0,825,0,0.004003286361694336,0.0
6,2,"[0.5, 0.5]",806.0,806.0,0.0,806,0,0.011010885238647461,0.0010008811950683594
6,2,"[0.5, 0.5]",868.0,868.0,0.0,868,0,0.011011362075805664,0.0009999275207519531
6,2,"[0.5, 0.5]",949.0,949.0,0.0,949,0,0.004003286361694336,0.0010013580322265625
6,2,"[0.5, 0.5]",1031.0,1031.0,0.0,1031,0,0.013011932373046875,0.002002239227294922
6,2,"[0.5, 0.5]",903.0,903.0,0.0,903,0,0.0050046443939208984,0.0010013580322265625
6,2,"[0.5, 0.5]",718.0,718.0,0.0,718,0,0.004003047943115234,0.0
6,2,"[0.5, 0.5]",813.0,813.0,0.0,813,0,0.008007287979125977,0.002001047134399414
6,2,"[0.5, 0.5]",533.0,533.0,0.0,533,0,0.009007930755615234,0.0
6,2,"[0.5, 0.5]",587.0,587.0,0.0,587,0,0.004003286361694336,0.0
6,2,"[0.5, 0.5]",963.0,963.0,0.0,963,0,0.007006406784057617,0.0010008811950683594
6,2,"[0.5, 0.5]",704.0,704.0,0.0,704,0,0.008008956909179688,0.0009999275207519531
6,2,"[0.5, 0.5]",1124.0,1124.0,0.0,1124,0,0.009008407592773438,0.0010008811950683594
6,2,"[0.5, 0.5]",1000.0,1000.0,0.0,1000,0,0.012011289596557617,0.0020017623901367188
6,2,"[0.5, 0.5]",542.0,542.0,0.0,542,0,0.005004167556762695,0.001001596450805664
6,2,"[0.5, 0.5]",693.0,693.0,0.0,693,0,0.006005764007568359,0.0
6,2,"[0.5, 0.5]",685.0,685.0,0.0,685,0,0.006005764007568359,0.001001596450805664
6,2,"[0.5, 0.5]",347.0,347.0,0.0,347,0,0.007006406784057617,0.0
6,2,"[0.5, 0.5]",987.0,987.0,0.0,987,0,0.010009527206420898,0.002001523971557617
6,2,"[0.5, 0.5]",399.0,399.0,0.0,399,0,0.0050048828125,0.001001119613647461
6,2,"[0.5, 0.5]",625.0,625.0,0.0,625,0,0.006005525588989258,0.0010008811950683594
