#Job;#Precedenze;Lista mu;Risultato PLI;Bound PLI;Gap PLI;Risultato BB;Gap BB;Tempo PLI;Tempo BB
8;2;[0.5, 0.5];1694;1694;0;1694;0;0.377343416;0.094085455
8;2;[0.5, 0.5];1665;1665;0;1665;0;0.291265249;0.045041323
8;2;[0.5, 0.5];1867;1867;0;1867;0;0.880800009;0.274250984
8;2;[0.5, 0.5];1603;1603;0;1603;0;1.171063662;0.183167458
8;2;[0.5, 0.5];1737;1737;0;1737;0;0.388352633;0.189171791
8;2;[0.5, 0.5];1751;1751;0;1751;0;0.284258127;0.090081692
8;2;[0.5, 0.5];1683;1683;0;1683;0;0.783710718;0.242220163
8;2;[0.5, 0.5];1597;1597;0;1597;0;1.153048754;0.319289207
8;2;[0.5, 0.5];1659;1659;0;1659;0;0.350317717;0.126114368
8;2;[0.5, 0.5];1689;1689;0;1689;0;0.722656488;0.251228333
8;2;[0.5, 0.5];1802;1802;0;1802;0;0.533483982;0.224202871
8;2;[0.5, 0.5];1793;1793;0;1793;0;0.311282396;0.080072403
8;2;[0.5, 0.5];1777;1777;0;1777;0;0.559508085;0.254231691
8;2;[0.5, 0.5];1641;1641;0;1641;0;0.540491104;0.183167219
8;2;[0.5, 0.5];1699;1699;0;1699;0;0.539490461;0.261237383
8;2;[0.5, 0.5];1756;1756;0;1756;0;0.401364565;0.220201015
8;2;[0.5, 0.5];1587;1587;0;1587;0;0.429390669;0.13512063
8;2;[0.5, 0.5];1641;1641;0;1641;0;0.370335817;0.132119417
8;2;[0.5, 0.5];1743;1743;0;1743;0;1.723566294;0.334304094
8;2;[0.5, 0.5];1715;1715;0;1715;0;0.427387714;0.158145666
8;2;[0.5, 0.5];1612;1612;0;1612;0;0.418380499;0.1371243
8;2;[0.5, 0.5];1700;1700;0;1700;0;0.385349512;0.177160501
8;2;[0.5, 0.5];1606;1606;0;1606;0;1.637488127;0.263239145
8;2;[0.5, 0.5];1672;1672;0;1672;0;0.41337657;0.140128374
8;2;[0.5, 0.5];1618;1618;0;1618;0;0.776704788;0.208189487
8;2;[0.5, 0.5];1589;1589;0;1589;0;0.283256769;0.078072071
8;2;[0.5, 0.5];1811;1811;0;1811;0;0.997905493;0.263240337
8;2;[0.5, 0.5];1605;1605;0;1605;0;0.465422392;0.209189892
8;2;[0.5, 0.5];1706;1706;0;1706;0;0.740673542;0.279253483
8;2;[0.5, 0.5];1661;1661;0;1661;0;0.357324839;0.12911725
8;2;[0.5, 0.5];1784;1784;0;1784;0;1.082983494;0.259767771
8;2;[0.5, 0.5];1657;1657;0;1657;0;0.428388596;0.127115011
8;2;[0.5, 0.5];1507;1507;0;1507;0;1.001909971;0.292265177
8;2;[0.5, 0.5];1799;1799;0;1799;0;0.365331888;0.161145926
8;2;[0.5, 0.5];1706;1706;0;1706;0;0.414376736;0.09708786
8;2;[0.5, 0.5];1567;1567;0;1567;0;0.478435516;0.152138472
8;2;[0.5, 0.5];1722;1722;0;1722;0;0.265240192;0.060055017
8;2;[0.5, 0.5];1730;1730;0;1730;0;0.409372091;0.13011837
8;2;[0.5, 0.5];1718;1718;0;1718;0;0.424384832;0.16615057
8;2;[0.5, 0.5];1602;1602;0;1602;0;1.046950817;0.182164669
8;2;[0.5, 0.5];1749;1749;0;1749;0;0.542492628;0.29526782
8;2;[0.5, 0.5];1623;1623;0;1623;0;0.468425751;0.168153524
8;2;[0.5, 0.5];1734;1734;0;1734;0;0.302273273;0.106097221
8;2;[0.5, 0.5];1686;1686;0;1686;0;0.484439373;0.26423955
8;2;[0.5, 0.5];1666;1666;0;1666;0;0.335305691;0.126114368
8;2;[0.5, 0.5];1740;1740;0;1740;0;0.418378115;0.159144163
8;2;[0.5, 0.5];1730;1730;0;1730;0;0.482437372;0.221200466
8;2;[0.5, 0.5];1729;1729;0;1729;0;0.36833477;0.053049088
8;2;[0.5, 0.5];1836;1836;0;1836;0;0.367333651;0.155140638
8;2;[0.5, 0.5];1687;1687;0;1687;0;0.537488937;0.051045656
8;2;[0.5, 0.5];1737;1737;0;1737;0;1.027932405;0.267244101
8;2;[0.5, 0.5];1661;1661;0;1661;0;0.919836044;0.282256603
8;2;[0.5, 0.5];1622;1622;0;1622;0;0.576523781;0.136124372
8;2;[0.5, 0.5];1688;1688;0;1688;0;0.330298662;0.10609746
8;2;[0.5, 0.5];1843;1843;0;1843;0;0.432393789;0.182165861
8;2;[0.5, 0.5];1695;1695;0;1695;0;0.418379784;0.172207594
8;2;[0.5, 0.5];1617;1617;0;1617;0;0.364331007;0.189171076
8;2;[0.5, 0.5];1761;1761;0;1761;0;0.328298092;0.095085859
8;2;[0.5, 0.5];1742;1742;0;1742;0;0.424386263;0.169152737
8;2;[0.5, 0.5];1728;1728;0;1728;0;0.626569033;0.218198776
8;2;[0.5, 0.5];1674;1674;0;1674;0;0.237215042;0.074067354
8;2;[0.5, 0.5];1784;1784;0;1784;0;0.314286232;0.11410284
8;2;[0.5, 0.5];1739;1739;0;1739;0;0.851773739;0.236215591
8;2;[0.5, 0.5];1671;1671;0;1671;0;0.473430872;0.251228571
8;2;[0.5, 0.5];1870;1870;0;1870;0;0.331300735;0.168152809
8;2;[0.5, 0.5];1748;1748;0;1748;0;0.390354633;0.202184916
8;2;[0.5, 0.5];1844;1844;0;1844;0;0.931846142;0.186168432
8;2;[0.5, 0.5];1794;1794;0;1794;0;0.3753407;0.154141188
8;2;[0.5, 0.5];1644;1644;0;1644;0;0.428388357;0.147133827
