#Job;#Precedenze;Lista mu;Risultato PLI;Bound PLI;Gap PLI;Risultato BB;Gap BB;Tempo PLI;Tempo BB
8;4;[0.5, 0.5, 0.5, 0.5];1147;1147;0;1147;0;0.078070402;0.04404068
8;4;[0.5, 0.5, 0.5, 0.5];1300;1300;0;1300;0;0.015013695;0.005003929
8;4;[0.5, 0.5, 0.5, 0.5];1300;1300;0;1300;0;0.046041012;0.019016743
8;4;[0.5, 0.5, 0.5, 0.5];1895;1895;0;1895;0;0.042038202;0.012011051
8;4;[0.5, 0.5, 0.5, 0.5];1335;1335;0;1335;0;0.041036844;0.006006002
8;4;[0.5, 0.5, 0.5, 0.5];1849;1849;0;1849;0;0.0360322;0.001001596
8;4;[0.5, 0.5, 0.5, 0.5];1427;1427;0;1427;0;0.025023222;0.001000166
8;4;[0.5, 0.5, 0.5, 0.5];1187;1187;0;1187;0;0.085077047;0.022018909
8;4;[0.5, 0.5, 0.5, 0.5];1241;1241;0;1241;0;0.104095221;0.028025389
8;4;[0.5, 0.5, 0.5, 0.5];1995;1995;0;1995;0;0.093084574;0.093084335
8;4;[0.5, 0.5, 0.5, 0.5];1445;1445;0;1445;0;0.015013933;0.001000881
8;4;[0.5, 0.5, 0.5, 0.5];707;707;0;707;0;0.011009216;0.001000881
8;4;[0.5, 0.5, 0.5, 0.5];1402;1402;0;1402;0;0.044039011;0.005004406
8;4;[0.5, 0.5, 0.5, 0.5];1507;1507;0;1507;0;0.036031723;0.008007526
8;4;[0.5, 0.5, 0.5, 0.5];2021;2021;0;2021;0;0.074066162;0.042038918
8;4;[0.5, 0.5, 0.5, 0.5];1324;1324;0;1324;0;0.070063114;0.02101922
8;4;[0.5, 0.5, 0.5, 0.5];1307;1307;0;1307;0;0.028025389;0.007006168
8;4;[0.5, 0.5, 0.5, 0.5];1126;1126;0;1126;0;0.029025316;0.00400424
8;4;[0.5, 0.5, 0.5, 0.5];2354;2354;0;2354;0;0.074067116;0.01301074
8;4;[0.5, 0.5, 0.5, 0.5];914;914;0;914;0;0.051045895;0.018016577
8;4;[0.5, 0.5, 0.5, 0.5];1743;1743;0;1743;0;0.060054302;0.034030199
8;4;[0.5, 0.5, 0.5, 0.5];1399;1399;0;1399;0;0.040035009;0.01401329
8;4;[0.5, 0.5, 0.5, 0.5];744;744;0;744;0;0.006005287;0
8;4;[0.5, 0.5, 0.5, 0.5];1833;1833;0;1833;0;0.038035154;0.003002167
8;4;[0.5, 0.5, 0.5, 0.5];833;833;0;833;0;0.036032677;0.020017624
8;4;[0.5, 0.5, 0.5, 0.5];1878;1878;0;1878;0;0.042037725;0.005004883
8;4;[0.5, 0.5, 0.5, 0.5];1784;1784;0;1784;0;0.036032438;0.002001524
8;4;[0.5, 0.5, 0.5, 0.5];1350;1350;0;1350;0;0.037033081;0.019017458
8;4;[0.5, 0.5, 0.5, 0.5];1791;1791;0;1791;0;0.070063353;0.023021221
8;4;[0.5, 0.5, 0.5, 0.5];1580;1580;0;1580;0;0.105095148;0.088080645
8;4;[0.5, 0.5, 0.5, 0.5];1695;1695;0;1695;0;0.088079691;0.037034512
8;4;[0.5, 0.5, 0.5, 0.5];1562;1562;0;1562;0;0.017014742;0.001001596
8;4;[0.5, 0.5, 0.5, 0.5];1001;1001;0;1001;0;0.037033081;0.007006645
