#Job;#Precedenze;Risultato PLI;Bound PLI;Gap PLI;Risultato BB;Gap BB;Tempo PLI;Tempo BB
8;14;1759;1759;0;1759;0;0;0
8;14;1794;1794;0;1794;0;0.00809598;0.001035213
8;14;1758;1758;0;1758;0;0.004074097;0
8;14;1810;1810;0;1810;0;0;0
8;14;1725;1725;0;1725;0;0.00472331;0
8;14;1785;1785;0;1785;0;0.003779411;0.001032114
8;14;1805;1805;0;1805;0;0.004048109;0
8;14;1804;1804;0;1804;0;0.005734921;0
8;14;1769;1769;0;1769;0;0;0
8;14;1819;1819;0;1819;0;0.008927107;0
8;14;1840;1840;0;1840;0;0.006511211;0
8;14;1696;1696;0;1696;0;0.00808692;0.001037598
8;14;1751;1751;0;1751;0;0.015493631;0.000544548
8;14;1772;1772;0;1772;0;0.010082722;0.002027273
8;14;1788;1788;0;1788;0;0.002459288;0
8;14;1746;1746;0;1746;0;0.004460812;0
8;14;1969;1969;0;1969;0;0.008030891;0.001029968
8;14;1850;1850;0;1850;0;0.005788088;0
8;14;1684;1684;0;1684;0;0.008205414;0.001030445
8;14;1814;1814;0;1814;0;0.013371229;0.001033068
8;14;1810;1810;0;1810;0;0.00906229;0
8;14;1814;1814;0;1814;0;0;0
8;14;1641;1641;0;1641;0;0.004462004;0
8;14;1622;1622;0;1622;0;0.004544258;0.001037121
8;14;1771;1771;0;1771;0;0;0
8;14;1868;1868;0;1868;0;0.007995844;0
8;14;1703;1703;0;1703;0;0.004877567;0
8;14;1630;1630;0;1630;0;0.017323971;0.001036882
8;14;1846;1846;0;1846;0;0.008123159;0.001039028
8;14;1871;1871;0;1871;0;0.016405821;0.002027273
8;14;1806;1806;0;1806;0;0.004533529;0
8;14;1736;1736;0;1736;0;0;0
8;14;1971;1971;0;1971;0;0;0
8;14;1607;1607;0;1607;0;0;0.00103426
8;14;1696;1696;0;1696;0;0.005061388;0
8;14;1785;1785;0;1785;0;0.004909277;0
8;14;1848;1848;0;1848;0;0.004770994;0
8;14;1728;1728;0;1728;0;0.005056381;0
8;14;1884;1884;0;1884;0;0;0
8;14;1883;1883;0;1883;0;0.004853487;0
8;14;1883;1883;0;1883;0;0.003385305;0
8;14;1760;1760;0;1760;0;0.004809618;0
8;14;1924;1924;0;1924;0;0.001509428;0
8;14;1699;1699;0;1699;0;0;0
8;14;1809;1809;0;1809;0;0;0
8;14;1754;1754;0;1754;0;0;0
8;14;1846;1846;0;1846;0;0.00349164;0
8;14;1705;1705;0;1705;0;0.005880594;0
8;14;1609;1609;0;1609;0;0.004157782;0
8;14;1838;1838;0;1838;0;0.005455971;0
8;14;1879;1879;0;1879;0;0;0
8;14;1880;1880;0;1880;0;0.017579556;0.001033306
8;14;1791;1791;0;1791;0;0;0
8;14;1798;1798;0;1798;0;0;0
8;14;1840;1840;0;1840;0;0.005953074;0
8;14;1931;1931;0;1931;0;0.015722275;0.001030445
8;14;1841;1841;0;1841;0;0.008197069;0
8;14;1862;1862;0;1862;0;0.004790306;0.001030922
8;14;1721;1721;0;1721;0;0.004827261;0
8;14;1769;1769;0;1769;0;0.006396294;0
8;14;1610;1610;0;1610;0;0.008088827;0.001031399
8;14;1677;1677;0;1677;0;0;0
8;14;1756;1756;0;1756;0;0.004816771;0.001850605
8;14;1887;1887;0;1887;0;0.004494905;0
8;14;2026;2026;0;2026;0;0.00437808;0
8;14;1821;1821;0;1821;0;0;0
8;14;1894;1894;0;1894;0;0.003234863;0
8;14;1953;1953;0;1953;0;0.004934072;0.001046181
8;14;1736;1736;0;1736;0;0;0
8;14;1734;1734;0;1734;0;0;0
8;14;1978;1978;0;1978;0;0.027430773;0.002031565
8;14;1750;1750;0;1750;0;0.011010885;0
8;14;1763;1763;0;1763;0;0.008103848;0
8;14;1755;1755;0;1755;0;0.008081675;0.001034021
8;14;1829;1829;0;1829;0;0.009221792;0
8;14;1713;1713;0;1713;0;0.013201952;0.000996113
8;14;1742;1742;0;1742;0;0.024146557;0.00099659
8;14;1771;1771;0;1771;0;0.002785206;0
8;14;1648;1648;0;1648;0;0.005018473;0
8;14;1727;1727;0;1727;0;0.004769564;0
8;14;1772;1772;0;1772;0;0;0
8;14;1674;1674;0;1674;0;0;0
8;14;1692;1692;0;1692;0;0;0
8;14;1868;1868;0;1868;0;0;0
8;14;1565;1565;0;1565;0;0.008134604;0
8;14;1776;1776;0;1776;0;0.011032343;0.001036882
8;14;1807;1807;0;1807;0;0.003592491;0
8;14;1846;1846;0;1846;0;0;0
8;14;1781;1781;0;1781;0;0.007968187;0
8;14;1868;1868;0;1868;0;0;0
8;14;1891;1891;0;1891;0;0;0
8;14;1628;1628;0;1628;0;0;0
8;14;1880;1880;0;1880;0;0.019030571;0.002032042
8;14;1896;1896;0;1896;0;0;0
8;14;1837;1837;0;1837;0;0;0
8;14;1844;1844;0;1844;0;0.006472349;0
8;14;1942;1942;0;1942;0;0.003860712;0
8;14;1951;1951;0;1951;0;0.016014576;0.001036644
8;14;1854;1854;0;1854;0;0.009600163;0
8;14;1694;1694;0;1694;0;0;0
